都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,11107,静岡県,焼津市,大井川西小学校,オオイガワニシショウガッコウ,,,静岡県焼津市上泉1688-1,,34.81458065,138.2647679,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11109,静岡県,焼津市,大井川南小学校,オオイガワミナミショウガッコウ,,,静岡県焼津市吉永490,,34.79476239,138.2942859,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11114,静岡県,焼津市,東益津小学校,ヒガシマシヅショウガッコウ,,,静岡県焼津市石脇上65,,34.886636,138.319814,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11117,静岡県,焼津市,大井川東小学校,オオイガワヒガシショウガッコウ,,,静岡県焼津市宗高428,,34.80760732,138.2931544,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11119,静岡県,焼津市,黒石小学校,クロイシショウガッコウ,,,静岡県焼津市大住1246,,34.85075669,138.3007005,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11120,静岡県,焼津市,焼津東小学校,ヤイヅヒガシショウガッコウ,,,静岡県焼津市栄町5-14-1,,34.86795199,138.3194036,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11121,静岡県,焼津市,焼津南小学校,ヤイヅミナミショウガッコウ,,,静岡県焼津市焼津5-5-1,,34.860991,138.317401,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11122,静岡県,焼津市,豊田小学校,トヨダショウガッコウ,,,静岡県焼津市五ケ堀之内2,,34.86352131,138.290294,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11124,静岡県,焼津市,焼津西小学校,ヤイヅニシショウガッコウ,,,静岡県焼津市塩津117-1,,34.86603493,138.3099987,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11128,静岡県,焼津市,和田小学校,ワダショウガッコウ,,,静岡県焼津市田尻541,,34.827568,138.320982,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11133,静岡県,焼津市,港小学校,ミナトショウガッコウ,,,静岡県焼津市石津港町40-2,,34.8407024,138.3268265,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11134,静岡県,焼津市,大富小学校,オオトミショウガッコウ,,,静岡県焼津市中根新田637,,34.83420096,138.2943154,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
222127,11135,静岡県,焼津市,小川小学校,コガワショウガッコウ,,,静岡県焼津市小川2525,,34.84979801,138.3160134,,,,教育総務課,,,,【開館時間】8:00～16:30 【休館日】土曜日、日曜日、祝日,,,,小学校
